Date,AAPL,MSFT,AMZN,NFLX,META,GOOG,INTC,AMD,NVDA,GE,GS,BAC,JPM,MS
2014-10-29,23.9489,40.1602,14.706,54.0143,75.86,27.3913,26.2893,2.77,4.4961,131.9844,157.1929,14.214,46.0514,27.5127
2014-10-30,23.8686,39.6691,14.9535,54.1443,74.11,27.4401,25.2507,2.75,4.4686,132.0358,157.9447,14.2475,46.129,27.6167
2014-10-31,24.0962,40.4444,15.273,56.11,74.99,27.8774,26.359,2.8,4.6718,132.7559,160.4959,14.3562,46.9756,27.9608
2014-11-03,24.4085,40.8665,15.286,55.4871,73.88,27.685,26.5916,2.87,4.7507,132.1901,161.2055,14.4482,47.2863,27.7688
2014-11-04,24.23,40.9785,15.1405,54.6829,75.76,27.6296,26.7698,2.83,4.8128,132.1901,160.7324,14.3981,46.797,27.7288
2014-11-05,24.288,41.2283,14.826,54.34,74.83,27.2212,26.3368,2.8,4.8128,132.8074,160.3692,14.5068,47.496,27.9208
2014-11-06,24.3575,41.952,14.832,54.7571,75.26,27.0278,26.3837,2.76,4.8344,135.5849,161.3491,14.5235,47.5582,28.2488
2014-11-07,24.427,41.9347,14.993,54.88,75.6,26.9764,26.1964,2.78,4.7316,135.8421,161.1041,14.5235,47.7446,28.5288
2014-11-10,24.3866,42.1156,15.2555,55.3243,75.0,27.2995,25.9468,2.76,4.7865,136.1507,162.0249,14.5319,48.1019,28.7048
2014-11-11,24.5816,42.0984,15.6005,54.65,74.61,27.4391,25.9858,2.73,4.7292,135.6878,162.0925,14.4901,47.6669,28.6328
2014-11-12,24.9289,42.0209,15.5755,54.8371,74.72,27.2905,26.0404,2.71,4.6969,136.4079,160.6564,14.465,47.0378,28.7768
2014-11-13,25.2807,42.7359,15.824,54.2014,74.25,27.1943,26.2744,2.66,4.6742,135.8935,160.7071,14.4064,46.7815,28.6728
2014-11-14,25.5855,42.71,16.391,55.1486,74.88,27.1454,26.4851,2.61,4.7304,136.0992,160.4875,14.3395,46.8203,28.5528
2014-11-17,25.5429,42.6066,16.1525,54.4486,74.24,26.752,26.7113,2.67,4.7088,136.8708,160.4452,14.2977,46.898,28.4808
2014-11-18,25.8745,42.2512,16.2465,54.4329,74.34,26.6782,27.078,2.65,4.8224,138.9282,160.2002,14.3395,47.0145,28.3768
2014-11-19,25.6953,41.8005,16.327,51.8714,73.33,26.776,26.7971,2.63,4.8044,138.4653,159.8201,14.2726,47.0689,28.3848
2014-11-20,26.0628,42.2166,16.527,52.5914,73.6,26.6683,28.0453,2.69,4.8837,138.1052,160.2932,14.2224,46.696,28.3128
2014-11-21,26.0986,41.5924,16.6315,51.4686,73.75,26.8014,27.7645,2.77,4.9113,138.8253,160.158,14.3228,46.9523,28.4248
2014-11-24,26.5815,41.2543,16.782,50.9243,74.01,26.8896,28.2793,2.83,4.9413,138.8768,160.5635,14.373,47.3485,28.4968
2014-11-25,26.3518,41.1503,16.752,49.8557,75.63,26.9799,28.334,2.83,4.9389,138.1567,159.5413,14.306,46.8358,28.2408
2014-11-26,26.6655,41.393,16.6785,50.1657,77.62,26.9445,28.7864,2.84,5.0217,138.2081,159.2541,14.3144,46.8669,28.0968
2014-11-28,26.6499,41.445,16.932,49.5129,77.7,27.0173,29.0595,2.79,5.0349,136.2536,159.6694,14.2558,46.7271,28.1448
2014-12-01,25.7849,42.1472,16.3,48.83,75.1,26.6169,28.9971,2.67,4.9413,133.8361,159.4914,14.0467,46.6028,28.0808
2014-12-02,25.6863,42.0085,16.3155,50.33,75.46,26.6144,29.3325,2.68,4.9485,133.9904,161.1778,14.3479,47.4417,28.6168
2014-12-03,25.9776,41.6791,15.825,50.7314,74.88,26.4932,29.1999,2.74,5.0758,135.6878,161.8219,14.5073,47.799,29.2168
2014-12-04,25.879,42.3379,15.8465,50.0857,75.24,26.7919,29.2233,2.69,5.0301,134.1961,162.6694,14.4402,47.6747,29.4328
2014-12-05,25.7692,41.9738,15.6315,50.1314,76.36,26.1911,29.3871,2.66,5.059,133.7846,165.6355,14.8345,48.7,29.7928
2014-12-08,25.1866,41.3453,15.332,48.4971,76.52,26.2768,29.0205,2.58,4.9941,132.1387,166.627,14.8177,48.6767,30.4008
2014-12-09,25.572,41.2543,15.625,49.1114,76.84,26.5955,28.7786,2.59,4.9773,131.5729,166.8558,14.7338,48.5058,30.4808
2014-12-10,25.0858,40.6562,15.292,47.76,76.18,26.231,28.412,2.48,4.8669,129.9784,162.7117,14.5828,47.131,29.9128
2014-12-11,25.0118,40.8902,15.368,47.8043,77.73,26.3446,28.6304,2.49,4.8645,130.6985,164.0168,14.6583,47.4883,29.9208
2014-12-12,24.5883,40.6995,15.366,47.7829,77.83,25.862,28.2598,2.52,4.7132,128.0238,160.0168,14.373,46.6339,29.0008
2014-12-15,24.2511,40.4568,15.3035,46.72,76.99,25.6196,28.0219,2.47,4.6988,126.4807,157.2372,14.1381,45.9504,28.7448
2014-12-16,23.9194,39.1478,14.753,45.2057,74.69,24.7017,27.7411,2.5,4.6448,125.9664,155.3473,14.029,45.3834,28.4168
2014-12-17,24.5166,39.6506,14.944,47.6643,76.11,25.1754,28.2715,2.55,4.8357,126.8408,156.805,14.4821,46.4242,29.3848
2014-12-18,25.2426,41.1936,14.8865,47.7743,78.4,25.485,28.88,2.55,4.8549,130.5271,162.3812,14.7086,47.7524,30.4808
2014-12-19,25.0477,41.315,14.995,48.5886,79.88,25.7468,28.373,2.57,4.9029,133.0193,163.7965,14.7842,48.1019,30.8088
2014-12-22,25.3076,41.5924,15.327,48.0971,81.45,26.1716,29.0283,2.66,4.9893,133.4866,164.7795,14.8597,48.1097,30.8568
2014-12-23,25.218,41.9998,15.3143,48.0614,80.61,26.4568,29.1999,2.67,4.9581,134.3692,165.6778,15.0443,48.5291,31.1608
2014-12-24,25.0992,41.7311,15.1515,48.8714,80.77,26.3661,29.2077,2.65,4.9389,134.1096,166.0083,15.0862,48.5291,31.0808
2014-12-26,25.5429,41.5057,15.4545,48.5786,80.775,26.6284,29.2935,2.65,4.9437,133.85,165.6355,15.0862,48.5834,30.9768
2014-12-29,25.525,41.133,15.602,48.8471,80.02,26.4439,29.0049,2.66,4.9365,133.4347,166.2626,15.1953,48.9019,31.1688
2014-12-30,25.2135,40.7602,15.515,49.0329,79.22,26.4484,28.6772,2.63,4.8909,132.7597,165.8558,15.2121,49.0495,31.2008
2014-12-31,24.734,40.2661,15.5175,48.8014,78.02,26.2479,28.3105,2.67,4.8141,131.2021,164.2626,15.0107,48.6067,31.0408
2015-01-02,24.4987,40.5348,15.426,49.8486,78.45,26.1686,28.3652,2.69,4.8333,130.1118,164.7541,15.0191,48.8491,30.9688
2015-01-05,23.8085,40.1577,15.1095,47.3114,77.19,25.6231,28.0453,2.66,4.7516,127.7234,159.61,14.5828,47.3326,30.0008
2015-01-06,23.8108,39.5726,14.7645,46.5014,76.15,25.0293,27.5226,2.63,4.6076,124.9717,156.3812,14.1465,46.1053,29.1368
2015-01-07,24.1446,40.0754,14.921,46.7429,76.15,24.9864,28.0999,2.58,4.5944,125.0236,158.7117,14.2136,46.1756,29.5528
2015-01-08,25.0723,41.2543,15.023,47.7793,78.175,25.0652,28.6226,2.61,4.7684,126.5293,161.2456,14.5073,47.2075,29.9928
2015-01-09,25.0992,40.9076,14.8465,47.0414,77.74,24.7406,28.6772,2.63,4.7876,124.764,158.7711,14.2472,46.3867,29.5048
2015-01-12,24.4808,40.3961,14.5705,45.5471,76.72,24.56,28.5524,2.63,4.7276,124.5044,156.8389,13.9955,45.988,29.0968
2015-01-13,24.6981,40.1837,14.737,46.2557,76.45,24.741,28.4744,2.66,4.7192,123.8814,156.7202,13.8025,45.9958,28.8248
2015-01-14,24.604,39.837,14.6635,46.32,76.28,24.9749,28.3574,2.63,4.7396,123.466,152.7372,13.4585,44.409,28.1688
2015-01-15,23.9362,39.4252,14.3475,46.2514,74.05,25.0208,28.2325,2.52,4.706,122.4276,151.2626,12.7536,42.9863,27.6648
2015-01-16,23.7503,40.0841,14.537,48.1914,75.18,25.3344,28.4354,2.39,4.7924,122.4795,150.1948,12.9047,43.7211,27.9128
2015-01-20,24.362,40.2141,14.472,49.8286,76.24,25.2756,28.1545,2.24,4.8068,123.8294,148.8389,12.804,43.5491,27.8008
2015-01-21,24.548,39.8067,14.8625,58.4686,76.74,25.8311,28.4588,2.45,4.8741,124.8159,150.127,12.9299,43.6898,27.7848
2015-01-22,25.1866,40.8556,15.516,61.2057,77.65,26.6463,28.7942,2.47,4.9581,126.062,154.2711,13.5004,45.0187,28.4248
2015-01-23,25.3166,40.8989,15.6195,62.4936,77.83,26.9236,28.4315,2.45,4.9725,127.1004,152.9575,13.1983,44.3073,28.1208
2015-01-26,25.3435,40.7515,15.483,63.7943,77.495,26.6872,27.9322,2.61,4.9497,127.6715,152.8982,13.299,44.3777,28.0888
2015-01-27,24.4561,36.9807,15.3375,64.8814,75.78,25.8605,26.6684,2.7,4.7132,126.5812,149.5677,13.1144,43.9321,27.7288
2015-01-28,25.8387,35.7064,15.1955,63.2086,76.24,25.4302,26.3485,2.63,4.6364,123.7775,146.6524,12.7536,42.7986,27.0949
2015-01-29,26.6431,36.4172,15.589,63.4,78.0,25.4631,26.6879,2.61,4.7492,125.0236,149.144,12.9466,43.5178,27.5763
